# AUTHORED-STRING REGISTRY - the backwards half of Rule 4, made complete.
#
# The forward grep enumerates invented strings and proves them ABSENT. This file
# enumerates AUTHORED strings and proves them PRESENT. Before it existed that half ran
# against three strings someone happened to remember: TURN IT was caught by memory, and
# catching it turned up a mechanic that had never been built and never been flagged.
#
# STATUS<TAB>STRING<TAB>SOURCE
#   REQUIRED    present in the app and traceable to an authored source. Deleting it must
#               be a decision, not a side effect. check_authored.py exits 1 on a miss.
#   REVIEW      authored, and NOT in the app. The backlog - where a never-built mechanic
#               surfaces. Each is built, or reclassified with a reason.
#   ANNOTATION  the design document explaining itself. Never app copy.
#   CONTENT     authored content that reaches the app from Airtable at runtime.
#   CSSVALUE    CSS / animation shorthand or a font stack. Implementation, never copy.
#   FRAGMENT    a template-literal fragment or code scrap the extractor split.
#   SUPERSEDED  authored, and from a source this build does not follow. TWO ROUTES, and they
#               are different in kind - a reader must be able to tell which applies:
#                 CHRONOLOGICAL - a later generation replaced an earlier one. This is just
#                   history; nobody decided anything. `The Point v9.html`'s four rows.
#                 ADJUDICATED - two LIVE sources are mutually exclusive and one lost a
#                   ruling. This is a decision, with a date and an author, and it can be
#                   revisited. First instance 2026-08-30: `AUDIT D5.8` ruled world VII onto
#                   `The Instrument v3.html`'s grab model over `world-seven.js`'s offer
#                   model, so the offer model's three caption strings are authored and no
#                   longer required. See CLAUDE.md's D5.8 divergence note.
#
#               WHAT THIS VERDICT PROTECTS AGAINST. Without it, deleting those three strings
#               goes one of two ways, and both are worse. Either check_authored stays RED and
#               someone quiets it by widening a denylist - a relaxation to make a true red go
#               away. Or the strings are restored, and the surface describes a mechanism that
#               no longer runs, which is the ninth shape with authored copy on it. A named
#               ruling is the only outcome that is neither. This is the DELETION half of
#               Rule 4 doing exactly what it exists for: deleting an authored string must be
#               a decision, and now it is one with a name and a date on it.
#   DIVERGED    deliberately not used; the reason is recorded in CLAUDE.md section 10.
#
# Regenerate: python3 Tools/extract_authored.py && python3 Tools/seed_registry.py
# Enforce:    python3 Tools/check_authored.py [--discover]
# Hand verdicts (anything but REQUIRED/REVIEW) survive regeneration.
ANNOTATION	"It writes nothing back -- a ceremony is not a place that keeps score."	Claude Design Round 2/comps/The Return.html [doc]
ANNOTATION	"not a lens. He is the one the lenses read."	Claude Design Round 2/comps/The Rooms v4.html [doc]
ANNOTATION	"not decoration laid over a colour, but the mathematics the vantage IS."	Claude Design Round 2/comps/The Rooms v4.html [doc]
ANNOTATION	&lt; W·.36	Claude Design Round 2/comps/The Seam.html [doc]
ANNOTATION	&lt; W·.42	Claude Design Round 2/comps/The Seam.html [doc]
ANNOTATION	A = p·(1−given/4·0.62)	Claude Design Round 2/comps/The Reading.html [doc]
ANNOTATION	a return, not a score	Claude Design Round 2/comps/The Return.html [doc]
ANNOTATION	A room is a voice's own mathematics at four registers -- and the way the figure answers your hand is that voice's own gesture.	Claude Design Round 2/comps/The Rooms v4.html [doc]
ANNOTATION	A room whose premise is	Claude Design Round 2/comps/The Rooms v4.html [doc]
ANNOTATION	A Strange Feed -- Players	Claude Design Round 2/design-source/Players View.html [doc]
ANNOTATION	A Strange Feed -- The Instrument	Claude Design Round 2/design-source/The Instrument v3.html [doc]
ANNOTATION	A Strange Feed -- The Light	Claude Design Round 2/design-source/The Light v2.html [doc]
ANNOTATION	A Strange Feed -- The Mirror	Claude Design Round 2/design-source/The Mirror.html [doc]
ANNOTATION	A Strange Feed -- The Point	Claude Design Round 2/design-source/The Point v9.html [doc]
ANNOTATION	A Strange Feed -- The Practice Door	Claude Design Round 2/design-source/Practice Door.html [doc]
ANNOTATION	A Strange Feed -- The Return v2	Claude Design Round 2/design-source/The Return v2.html [doc]
ANNOTATION	A Strange Feed -- The Rite v3	Claude Design Round 2/design-source/The Rite v3.html [doc]
ANNOTATION	A Strange Feed -- The Signal Space	Claude Design Round 2/design-source/The Signal Space.html [doc]
ANNOTATION	A Strange Feed -- The Turning into Light	Claude Design Round 2/design-source/Player Detail - The Turning.html [doc]
ANNOTATION	A Strange Feed -- The Universe	Claude Design Round 2/design-source/The Universe v3.html [doc]
ANNOTATION	a sustained pair,	Claude Design Round 2/comps/The Sound.html [doc]
