# RENDERED-STRING REGISTRY - the FORWARD half of Rule 4, inverted.
#
# Both halves of the Rule 4 check were built from memory. The backward list had three
# ad-hoc entries and missed `touch to read`; the forward list had eight and missed six
# invented world cues. You cannot enumerate inventions from the design, because inventions
# are exactly what is NOT in it. So this file enumerates the other side: every string the
# app renders. Each must be AUTHORED, a recorded DIVERGENCE, or deliberate APP-OWN copy.
# Anything else is an INVENTION by construction - nothing to remember.
#
# STATUS<TAB>STRING<TAB>SITE
#   AUTHORED     traceable to canon/ or a design source. Auto-granted; the only one that is.
#   DIVERGENCE   deliberately not the design's wording; the reason is in CLAUDE.md section 10.
#   AUTHORED-INTERPOLATED
#                authored, and rendered with an interpolation so it cannot literal-match:
#                the LITERAL SEGMENTS resolve to a design line and the interpolated value is
#                one the design also shows. Filed as APP-OWN until 2026-08-31, which was a
#                false claim in the direction that costs most — APP-OWN is precisely what a
#                real invention would hide behind, so it must never stretch.
#   APP-OWN      the app's own copy for a surface the design never drew (token entry,
#                settings, error states). Deliberate and named. NOT available for an
#                INSTRUCTIONAL string - see below.
#   NON-UI       a literal that never reaches a screen.
#   INVENTION    the violation. Must go to zero or be reclassified with a reason.
#   UNTRIAGED*   not yet judged. check_rendered.py fails on these too: an unjudged string
#                is indistinguishable from an invented one, which is how six of them lived
#                in the Point for the whole build.
#
# UNTRIAGED-INSTRUCTIONAL is called out separately because Rule 4 forbids the CATEGORY.
# `The Instrument v3.html:1084`: an instructional string is either the design's or it is
# invented. APP-OWN cannot be granted to one.
#
# Regenerate: python3 Tools/extract_rendered.py && python3 Tools/seed_rendered.py
# Enforce:    python3 Tools/check_rendered.py [--triage]
APP-OWN	... days ago	Bindu Feed/Bindu Feed/Return/ReturnCanon.swift:129
APP-OWN	... in the archive · ... in the record	Bindu Feed/Bindu Feed/Rooms/RoomView.swift:628
APP-OWN	... spoke here.	Bindu Feed/Bindu Feed/Universe/UniWords.swift:49
APP-OWN	... visitors arrived that you did not choose.	Bindu Feed/Bindu Feed/Point/PointJourney.swift:42
APP-OWN	... · ... of ...	Bindu Feed/Bindu Feed/Rooms/RoomView.swift:635
APP-OWN	... · ... of 7	Bindu Feed/Bindu Feed/Instrument/AxisModel.swift:44
APP-OWN	... · sealed ...	Bindu Feed/Bindu Feed/Screens/ReturnView.swift:143
APP-OWN	\(Int(Date().timeIntervalSince1970))-...	Bindu Feed/Bindu Feed/Screens/RiteRecognitionView.swift:219
APP-OWN	a story is returning to you...	Bindu Feed/Bindu Feed/Screens/RootView.swift:300
APP-OWN	a story returns once you have sealed your own words on it.	Bindu Feed/Bindu Feed/Screens/RootView.swift:285
APP-OWN	All of ...'s words in the field	Bindu Feed/Bindu Feed/Screens/TheTurningView.swift:426
APP-OWN	AND THE FIELD TURNS TO YOU	Bindu Feed/Bindu Feed/Screens/RoomSelectionView.swift:100
APP-OWN	answering ...	Bindu Feed/Bindu Feed/Screens/RiteGatheringView.swift:282
APP-OWN	anthropic api key	Bindu Feed/Bindu Feed/Point/ApertureView.swift:258
APP-OWN	ARCHIVE SHORT · ... CLAIMED · ... IN THE RECORD	Bindu Feed/Bindu Feed/Rooms/RoomArchive.swift:101
APP-OWN	awake, aware	Bindu Feed/Bindu Feed/Screens/SettingsView.swift:402
